Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
S3_Warp_Fade,E-VB-only,PRE,R_eff,0.127968,0.127742,0.118247,0.137992
S3_Warp_Fade,E-VB-only,PRE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,E-VB-only,PRE,K_delay,0.938604,0.937718,0.920674,0.958944
S3_Warp_Fade,E-VB-only,PRE,Q11,1.433596,1.269787,0.819631,2.297169
S3_Warp_Fade,E-VB-only,PRE,Q22,0.129494,0.125414,0.073421,0.189322
S3_Warp_Fade,E-VB-only,PRE,tracking_error,-0.383914,-0.382067,-1.271064,0.411136
S3_Warp_Fade,E-VB-only,FADE,m_reliability,0.681587,0.709710,0.490746,0.819173
S3_Warp_Fade,E-VB-only,FADE,Lambda,1.000000,1.000000,1.000000,1.000000
S3_Warp_Fade,E-VB-only,FADE,R_vb,0.127968,0.127406,0.119621,0.138323
S3_Warp_Fade,E-VB-only,FADE,R_eff,0.127968,0.127406,0.119621,0.138323
S3_Warp_Fade,E-VB-only,FADE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
